school_name
Tanjong Katong Girls' School
Tanjong Katong Secondary School
CHIJ Katong Convent
St Patrick's School
Victoria Junior College
Victoria School
Temasek Junior College
Nan Hua High School
NUS High School of Math and Science
National University of Singapore
Singapore Polytechnic
New Town Secondary School
